FIPS,y,BreachesPer100K,CensusMean,OpProfitMargin,CapitalExp,OpIncome,AR,BadDebt,BedUtil,OutpatientVisits,ALOS,Pop2020,PopDensity,Native,Hispanic,Black,Asian,Prop65,UE2019,Poverty,AcuteBeds,CMI,PedTrauma,MedCenter
17111,0,0,195.4,-0.068,13859774,-37206230,59946000,24323905,0.751,161313,4.4,307774,196.9351864,0.001,0.128,0.014,0.027091307,0.152,3.3,5.9,309,1.323,0,0
17113,0,0,82.05,0.3995,8961437,127888669.5,861510747.5,2496607.5,0.503,82465,3.4,171517,55.96790965,0.001,0.048,0.082,0.051948203,0.138,3.8,14.4,343,1.63,0,0
17115,0,0,76.35,-0.135,13949640,-29707568,40926735,10614144,0.4915,168285,5.05,104009,69.16944865,0.003,0.022,0.143,0.011095194,0.204,5.3,17.4,333,1.6,0,0
17119,0,0,65.25,-0.0105,10294727,-1408113,62548282.5,8406906,0.522,80945,4.1,262966,141.7943321,0.002,0.032,0.084,0.009970871,0.176,3.9,13.8,624,1.412,0,0
17121,0,0,30,0.044,4693569,4427438,14907391,1799705,0.326,44233,2.6,37205,25.09373178,0.002,0.02,0.035,0.00709582,0.198,4.5,19.5,107,1.275,0,0
17143,0,0,365.46,0.3724,32677270.8,545449969.2,538300098,26215370.8,0.5138,509454.4,4.8,179179,111.8224502,0.003,0.047,0.175,0.041031594,0.176,5.1,16.6,936,1.737,0,1
17159,0,0,14.2,-0.316,5335410,-14699132,11272283,814722,0.303,29435,4.5,15513,16.63525512,0.003,0.017,0.009,0.010442854,0.211,4.1,15,47,1.28,0,0
17161,0,0,71.5,0.019,7507504.5,6199211,101600132.5,7267352,0.2865,163468.5,3.7,141879,128.1699282,0.002,0.127,0.097,0.026184284,0.198,4.9,14.2,442,1.62,0,0
17163,0,0,116.65,-0.0315,9059929.5,-6661254.5,59550778.5,12239783.5,0.6715,82826.5,4.85,259686,152.4418013,0.001,0.04,0.3,0.014444367,0.164,4.5,14.8,556,1.493,0,0
17167,1,0.513684557,481.1,-0.00275,87204450.75,7688185.25,310881358.3,33774026.25,0.65625,453722.75,5.7,194672,86.56408006,0.001,0.023,0.126,0.019869319,0.184,4,13.1,759,1.94,0,0
17179,0,0,19.2,0.169,6243686,7875030,5060766,4004822,0.202,32284,4.6,131803,78.72492126,0.002,0.023,0.013,0.010621913,0.193,4.4,9.6,132,1.45,0,0
17183,0,0,39.9,-0.219,1207893,-17750975,73861604,10840821,0.229,45175,3.6,75758,32.56223346,0.003,0.049,0.139,0.009807545,0.198,5.1,19.3,196,1.17,0,0
